text,sentiment,brand
Try to be friendly and adorable. Need more hospitality. This is Starbucks!,negative,Starbucks
Kasirnya jutek sekali!!! Harusnya bisa ramah ke pelanggan,negative,Starbucks
Beli cappucino rasa nya kaya kopi sachet,negative,Starbucks
The coffee was like milk. Cummon Starbucks!!! You can do better!!!,negative,Starbucks
Tydak ramah bintang satu,negative,Starbucks
Cocok sekali kalau untuk meetup,positive,Starbucks
Mantaph,positive,Starbucks
Jam 9 uda closingan pdhl hrusnya jam 10 malem,negative,Starbucks
Suasananya santai di sini bisa untuk meeting,positive,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Nice,positive,Starbucks
Beli cappucino rasa nya kaya kopi sachet,negative,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Orderan di lewat terus,negative,Starbucks
Steategis,positive,Starbucks
One of my favorite starbucks branch __,positive,Starbucks
Tempatnya enak buat nongkrong2,positive,Starbucks
Buruk,negative,Starbucks
Service kurang baik.Harus ada penambahan karyawan lagi.Jangan sampai membuat customer menunggu pesanan lama.,negative,Starbucks
Ngarugikeun batur,negative,Starbucks
Panjang amat,positive,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Yang kurang cuma lahan parkirnya benerrrrr. sama baristanya masih ada beberapa yang kurang senyum tetapi aku ngertiin krn kerja kan pasti capek yah. tetapi kalau bisa capeknya jangan sampe ketauan customer.,positive,Starbucks
Good coffe,positive,Starbucks
Hebat,positive,Starbucks
Relatively large area with indoor and outdoor space. Cozy ambiance. Friendly services. They also have parking area. Recommended place to work in Cimahi.,positive,Starbucks
Lokasi nyaman dan pelayanan baik hanya saja tempat parkir terbatas mobil hanya masuk 6 unit sisanya pararel,positive,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Standard Starbuck,positive,Starbucks
Gara gara ada ajn saya males kesitu dan ini Starbucks dari israel,negative,Starbucks
Baik,positive,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Nyaman dan parkir tertata dengan baik,positive,Starbucks
Pelayanan buruk dari barista nya kalau pelayanan buruk gtu bisa bisa hancur Jangan mentang mentang sudah jadi coffe shop besar bisa seenaknya,negative,Starbucks
Mihil,positive,Starbucks
Beli 2 botol saja harus nunggu 1jam... Parah bangeeeeettt pelayanan nya,negative,Starbucks
Nice,positive,Starbucks
Bersih tempat ny. dan baik pelayanan ny,negative,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
Buatnya lama,negative,Starbucks
Favorite,positive,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
Staffnya sengaja nolak pembayaran lewat card karena saya mau claim free food/beverage,negative,Starbucks
Menyenangkan...buka dari jam 8 __,positive,Starbucks
Pelayanannya kirang,negative,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
My breakfast place,positive,Starbucks
Akhirnya ada Starbucks di Cimahi.,positive,Starbucks
Paskal,positive,Starbucks
PELAYANAN SANGAT BURUK DAN SANGAT LAMA,negative,Starbucks
Bagus,positive,Starbucks
Tempatnya nyaman seperti starbuck laiinya. Yang membedakan lokasinya strategis ditempat bersejarah. Karyawan ramah dan sangat membantu waktu kesulitan mencas laptop karena posisnya dibawah kursi.,positive,Starbucks
Suasana clasic nya masih kental tempat nongkrong nya,positive,Starbucks
Jelek,negative,Starbucks
Some leaks near entrance door probably from central AC,positive,Starbucks
Madeff,positive,Starbucks
Toiletnya rusak..bau tak sedap di lobby belakang,negative,Starbucks
Tempatnya bersih dan nyaman... Rasa makanan dan minuman nya konsisten.,positive,Starbucks
Ah kalau cari kursi susah penuh mulu. Harga roti baik tetapi minuman mahal. Untung ada kopi lg promo. Rasa minuman starbuk slalu juara. Bisa byr pakai bca qr. Credit card bisa. Pelayanan baik dan cepat . Lokasi sebelah sushi,positive,Starbucks
Pelayan atau barista so kece itu ngasih minuman di gebrek di meja__ tolong di training lagi y cowo shift sore atau malem jam 20:07 hari minggu sbx pvj (tertawa) LoL,negative,Starbucks
Baru jam 8.45 sudah tutup,negative,Starbucks
The service was bad. The waitress asked for aditional cost for oatmilk for the menu Ice Brown Sugar Oat Milk Shaken Espresso.,negative,Starbucks
Untuk yang di dalam pelayanannya sangat baik tetapi untuk tukang parkirnya pelayanannya sangat buruk. Membantu keluar motor tetapi sangat tidak ikhlas. Bahkan sampai ngatain saya orang tak berakal hanya karna saya lewat jalur yang kecil (motor bisa lewat). Mohon untuk pegawainya lebih dididik lagi untuk kenyamanan bersama juga.,negative,Starbucks
Bingung sama fasilitas toiletnya pada tutup :( tetapi baristanya baik2 bangett,positive,Starbucks
Pelayanan sangat buruk. Tidak seperti reserve outlet lain. Bad attitude.,negative,Starbucks
Xoxo saja,positive,Starbucks
Bikin kopi sambil beberes. Emangnya di rumah.,negative,Starbucks
Beli 2 botol saja harus nunggu 1jam... Parah bangeeeeettt pelayanan nya,negative,Starbucks
Tempatnya terlalu kecil dan staf nya kurang ramah jd membuat kesan kepada kostumer berpikir 2x uk datang kembali karna gerai starbacks juga sudah banyak dbandung juga,negative,Starbucks
Yummy....nikmaat..,positive,Starbucks
Toiletnya rusak..bau tak sedap di lobby belakang,negative,Starbucks
Smoga kalau Starbuck di Podomoro Park sudah buka bakal seperti ini juga pelayanannya...,positive,Starbucks
Gara gara ada ajn saya males kesitu dan ini Starbucks dari israel,negative,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
BUTUT!!,negative,Starbucks
Kopi tidak ada lawan dah. enak2,positive,Starbucks
Lebih mendahulukan yang datang ke resto! dibanding ojek online! sangat disayangkan !!!!,negative,Starbucks
Menarik,positive,Starbucks
Pegawainya kurang ramah,negative,Starbucks
Starbucks cabang yang @PVJbandung kenapa tisue harus minta di counter ke petugas nya. Dan kenapa karyawan shift sore saat hari ini tidak bisa bahasa inggis sedikit pun. Mohon maaf yaa harus bilang seperti ini.,negative,Starbucks
Baru jam 8.45 sudah tutup,negative,Starbucks
Nearest Starbucks in the Cimahi area.,positive,Starbucks
Kasir yang cowok jutek. tidak welcome.,negative,Starbucks
Toiletnya rusak..bau tak sedap di lobby belakang,negative,Starbucks
Bersi /nyaman,positive,Starbucks
Tempat nongkrong yang menyenangkan sambil minum,positive,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
Coffee Shop,positive,Starbucks
Kopi dan service mah no debat.. overall baik.. kaca pintu nya butek.. kurang enak saja.. (tertawa).. karena starbucks dimana2 selalu kebersihannya numero uno..,positive,Starbucks
Hari jumat 20 des say order take away tpi barangnya ada yang kurang .mohon ketelitiannya,negative,Starbucks
Staffnya sengaja nolak pembayaran lewat card karena saya mau claim free food/beverage,negative,Starbucks
Sama seperti starbucks pada umumnyaa,positive,Starbucks
Cuma kurang luas saja kali yaa yang di dalem sedikit sekali tempat duduknya.,positive,Starbucks
Orderan di lewat terus,negative,Starbucks
Nice place for hang out as always,positive,Starbucks
Pelayanan super LELET....,negative,Starbucks
Coffee double shot iced layak diseruput ____,positive,Starbucks
Pelayan atau barista so kece itu ngasih minuman di gebrek di meja__ tolong di training lagi y cowo shift sore atau malem jam 20:07 hari minggu sbx pvj (tertawa) LoL,negative,Starbucks
Ada teknik brewing yang beda dari kebanyakan Starbucks,positive,Starbucks
Pelayan atau barista so kece itu ngasih minuman di gebrek di meja__ tolong di training lagi y cowo shift sore atau malem jam 20:07 hari minggu sbx pvj (tertawa) LoL,negative,Starbucks
BUTUT!!,negative,Starbucks
Gara gara ada ajn saya males kesitu dan ini Starbucks dari israel,negative,Starbucks
Pelayanannya kirang,negative,Starbucks
Orang nya males sekali. tidak mau ngurus surat izin barang stlh jam 10.00 padahl kan saya masih banyak kiroman. dan harus parkir lbh dari 10 jam. kan mahal.,negative,Starbucks
Tempatnya berada di sebelah hejo lobby. Dekat dengan toilet mall. Terdapat area smoking. Sayangnya pencahayaannya cenderung gelap sehingga nuansa yang ditampilkan menjadi agak suram.,positive,Starbucks
Jelek,negative,Starbucks
Hebat ________,positive,Starbucks
Good place,positive,Starbucks
Hampir selalu penuh kalau weekend. Susah dapet tempat duduk. Overall baik lah,positive,Starbucks
A nice place for WFH or just chilling. Even in the weekend it’s quite empty. They separate pickup place for online orders which make it less crowded. The outdoor area seems comfy,positive,Starbucks
Tempat strategis dan nyaman untuk ngobrol,positive,Starbucks
Jelek,negative,Starbucks
Lovely places,positive,Starbucks
I really like their secret menu: coldstone americano,positive,Starbucks
Pelayan atau barista so kece itu ngasih minuman di gebrek di meja__ tolong di training lagi y cowo shift sore atau malem jam 20:07 hari minggu sbx pvj (tertawa) LoL,negative,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
Terrible customer experience.,negative,Starbucks
Ngopi ngapa ngopiiii,positive,Starbucks
Tidak melayani pembeli dengan ramah,negative,Starbucks
Saya sebagai driver Shopee sangat kecewa menu tidak ada aplikasi nya d buka sangat merugikan driver dah jauh jauh saya datang menunya tidak ada tidak menghargai driver dah jauh jauh datang jd satu ya terpaksa d cancel sama pihak resto,negative,Starbucks
Nice place to have coffee break,positive,Starbucks
Nice cozy place____,positive,Starbucks
The service was bad. The waitress asked for aditional cost for oatmilk for the menu Ice Brown Sugar Oat Milk Shaken Espresso.,negative,Starbucks
Hebat,positive,Starbucks
Tempat nyaman ...parkir cukup ...,positive,Starbucks
Free banana cake ask me how to ____,positive,Starbucks
Tempatnya menyenangkan hanya parkirannya agak repot pas full..but thanks akhirnya Cimahi punya Starbucks _,positive,Starbucks
Tidak lagi_ saya ke ST Paskal. ST paling buruk di bdg Mana judes sekali si kakak nya ____,negative,Starbucks
Pelayanan sangat buruk. Tidak seperti reserve outlet lain. Bad attitude.,negative,Starbucks
Kasirnya jutek sekali!!! Harusnya bisa ramah ke pelanggan,negative,Starbucks
Baru kali ini beli Ice Caramel machiato take away ice nya sudah mencair tetapi masih enak.. makasih ya kakak barista yang jaga di tgl 07 feb shift pagi..,positive,Starbucks
The idea of __using a paper straw at Starbucks is a stupid idea,negative,Starbucks
Beli cappucino rasa nya kaya kopi sachet,negative,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
Rasa yang ditawarkan terkadang berbeda setiap beli,positive,Starbucks
The waiter used paper cup to my coffee instead of class to avoid washing inspiate I requsted class cup,negative,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
Smoking areanya enak ada taman mini,positive,Starbucks
Pelayanan kurang ramah,negative,Starbucks
The waiter used paper cup to my coffee instead of class to avoid washing inspiate I requsted class cup,negative,Starbucks
Saya driver saya dapet orderan di starbuck saya sudah jauh jauh di cancel sama resto nya tidak tau alasan nya apa mana hujan saran kalau mau cancel minimal langsung atau hubungi driver dulu terus kalau belum siap melayani orderan gofood tolong di ttup aplikasi nya soalnya merugikan driver jauh jauh le resto pas sudah mau sampai di cancel resto terimakasih jika ada tanggapan saya naikan bintangnya,negative,Starbucks
2x ke sini parah sekali servicenya. Ketus-ketus. Cepet berbenah kalian,negative,Starbucks
Saya sebagai driver Shopee sangat kecewa menu tidak ada aplikasi nya d buka sangat merugikan driver dah jauh jauh saya datang menunya tidak ada tidak menghargai driver dah jauh jauh datang jd satu ya terpaksa d cancel sama pihak resto,negative,Starbucks
Pegawainya kurang ramah,negative,Starbucks
Haram fatwa MUI,negative,Starbucks
Tempat yang nyaman,positive,Starbucks
Tempatnya nyaman harganya mahal,positive,Starbucks
Tidak melayani pembeli dengan ramah,negative,Starbucks
Okss,positive,Starbucks
Satu satunya pelayanan yang kurang mengenakan disini. Karena kasirnya jutek dan ketus sekali. tidak paham bisa sejutek dan ketus seperti itu apa karena capek atau ada masalah yang dihadapi atau mungkin karena saya beli dengan promo buy 1 free 1. Untuk makanan minuman tidak ada perbedaan antara starbucks lain. Namun untuk yang di PVJ suasananya berbeda dengan starbucks lain. Di PVJ sangat ramai sehingga tidak mendapatkan kursi.,positive,Starbucks
The waiter used paper cup to my coffee instead of class to avoid washing inspiate I requsted class cup,negative,Starbucks
Pelayanannya kirang,negative,Starbucks
Kopinya tidak pernah enak beda dr Starbucks lain,negative,Starbucks
Kurang baik dalam melayani pesanan online..buat driver kecewa..lebih d perbaiki kualitas pegawai nya,negative,Starbucks
Its good place and cozy for work or hangout,positive,Starbucks
Tolong donk sekelas starbucks di mall P23 apalagi. Masa ac indoornya panas sekali terutama weekend. sudah lama sekali tidak diperbaikin.,negative,Starbucks
Baik,positive,Starbucks
Konon kalau senen n selasa pagi sepi disini. Saya biasanya nebeng kerja sambil breakfast dan ngopi. Makin siang makin rame dan padat. Siang banyak mahasiswa rasanya. Parkir mudah karena gabung mal dan kompleks. Nyaman untuk kerja,positive,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Very small non smoking area,negative,Starbucks
Lama menunggu dan tidak adil dalam pelayanan,negative,Starbucks
BUTUT!!,negative,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Starbucks selalu menjaga standar layanan dan produk mereka. Sejauh ini kita mendapatkan kualitas yang sama di semua gerainya. Apalagi ambien lokasinya selalu enak untuk bekerja maupun berkumpul dengan teman.,positive,Starbucks
Kok gini yah pelayanan star buck. Saya minta Refill air panas untuk teh yang saya sudah beli. Pelayan nya bilang enggak boleh Saya mau beli lagi teh tetapi jangan di seduh TIDAK BOLEH KATANYA,negative,Starbucks
Everything's fine. But I did not see any mushola __ There are smoking and non smoking area.,positive,Starbucks
Waiters nya ramah..,positive,Starbucks
Ada kelas kopi juga di sini.. tempatnya menyenangkan,positive,Starbucks
Yang bikin nya yang LG trening parah sekali,negative,Starbucks
Baik,positive,Starbucks
Baik,positive,Starbucks
Untuk yang di dalam pelayanannya sangat baik tetapi untuk tukang parkirnya pelayanannya sangat buruk. Membantu keluar motor tetapi sangat tidak ikhlas. Bahkan sampai ngatain saya orang tak berakal hanya karna saya lewat jalur yang kecil (motor bisa lewat). Mohon untuk pegawainya lebih dididik lagi untuk kenyamanan bersama juga.,negative,Starbucks
Pelayanannya super lelet ...,negative,Starbucks
Tempatnya nyaman ____,positive,Starbucks
Perfect place for hangout,positive,Starbucks
Buat nongkrong enak sekali sama temen,positive,Starbucks
Service kurang baik.Harus ada penambahan karyawan lagi.Jangan sampai membuat customer menunggu pesanan lama.,negative,Starbucks
Sy sering disini.jika selesai belanja atsu sejedar nongkrong sll disini. Strategis enak nyaman bersih. Pelayanan cpt dn rzmah,positive,Starbucks
The brown sugar has more taste than the coffee. Waited 5 mins to log into slow wifi.,negative,Starbucks
Cocok sekali untuk ngobrol cantik,positive,Starbucks
Primary afternoons coffee spot,positive,Starbucks
Cozzy.. pas sekali lagi hujan di bandung jd sendu2 gitu __,positive,Starbucks
Tempatnya terlalu kecil dan staf nya kurang ramah jd membuat kesan kepada kostumer berpikir 2x uk datang kembali karna gerai starbacks juga sudah banyak dbandung juga,negative,Starbucks
Mahal,negative,Starbucks
Bukan penggemar kopi mahal,negative,Starbucks
BUTUT!!,negative,Starbucks
Staffnya sengaja nolak pembayaran lewat card karena saya mau claim free food/beverage,negative,Starbucks
Tolong kalou sudah tutup aplikasi gobiz nya di matiin jangan sampai driver bingung,negative,Starbucks
Lumayan,positive,Starbucks
Baik sekali,positive,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Good place. Too many people chat for too long. Too little space..,positive,Starbucks
Di smoking area tempat duduknya cukup nyaman tetapi terkadang suka timbul asap tebal yang seperti buangan dari gedung sebelah jadi menggangu kenyaman merokok,positive,Starbucks
Pelayanan nya tidak ramah. makanan sama minuman nya biasa saja.,negative,Starbucks
Saya pesan delivery combo bottle..untuk signature chocolate nya rasanya sudah asam..biasanya tidak bgtu rasanya..apakah sudah basi??? saya pesan hri ini 03/09 ed tertera di btol pun 03/09,negative,Starbucks
Starbuck paling aneh bertahun2 saya datang tidak ada musiknya. Jadi berisik kalau ada yang ngobrol apalagi yang baea bocil,negative,Starbucks
Nunggu lama,negative,Starbucks
Di bagian depan tsm,positive,Starbucks
Hmmmm...,positive,Starbucks
Love the place,positive,Starbucks
Pelayanan sinis atas nama g____a rama. Cuma tanya menu breakfast saja jawabnya sinis dengan muka yang nyebelin. Lgsg ganti order ke cold brew,negative,Starbucks
Tolong kalou sudah tutup aplikasi gobiz nya di matiin jangan sampai driver bingung,negative,Starbucks
Nice coffee,positive,Starbucks
Staffnya sengaja nolak pembayaran lewat card karena saya mau claim free food/beverage,negative,Starbucks
Pelayanan LAMAAAAAAA.....,negative,Starbucks
Nyaman ngopi disini,positive,Starbucks
It's good place to hangout and drink coffee or other drink,positive,Starbucks
Kasirnya jutek sekali!!! Harusnya bisa ramah ke pelanggan,negative,Starbucks
The service was bad. The waitress asked for aditional cost for oatmilk for the menu Ice Brown Sugar Oat Milk Shaken Espresso.,negative,Starbucks
Best sekali,positive,Starbucks
Coffebestintown,positive,Starbucks
Ahh akhirnya buka juga tempat ngantor virtual nya tidak jauh2 lagi,positive,Starbucks
Tempat ngopi enak,positive,Starbucks
Good coffee Nice atmosphere Good service Reasonable price,positive,Starbucks
Untuk di mall besar gerai disini bisa di bilang ckup kecil but overall is baik,positive,Starbucks
Chill vibe dan tenang sekali,positive,Starbucks
Tempat favorite sebelum keluar dari paskal pasti mampir,positive,Starbucks
Cool place tho,positive,Starbucks
BUTUT!!,negative,Starbucks
They refuse to turn the AC on. It’s so uncomfortable. Go to Kopi kenigan they have AC.,negative,Starbucks
Buat nongkrong dan sambil nugas disini nyaman,positive,Starbucks
Tempatnya byk nyamuk,positive,Starbucks
Saya sebagai driver Shopee sangat kecewa menu tidak ada aplikasi nya d buka sangat merugikan driver dah jauh jauh saya datang menunya tidak ada tidak menghargai driver dah jauh jauh datang jd satu ya terpaksa d cancel sama pihak resto,negative,Starbucks
Nyaman,positive,Starbucks
Starbucks manapun selalu menyenangkan,positive,Starbucks
Ngarugikeun batur,negative,Starbucks
Resto sampah..kalau tidak mau ada driver online..jangan jualan online boss,negative,Starbucks
Untuk yang di dalam pelayanannya sangat baik tetapi untuk tukang parkirnya pelayanannya sangat buruk. Membantu keluar motor tetapi sangat tidak ikhlas. Bahkan sampai ngatain saya orang tak berakal hanya karna saya lewat jalur yang kecil (motor bisa lewat). Mohon untuk pegawainya lebih dididik lagi untuk kenyamanan bersama juga.,negative,Starbucks
Dibikin adem hati setelah macet2an pelayanan ny ramah,positive,Starbucks
Service kurang baik.Harus ada penambahan karyawan lagi.Jangan sampai membuat customer menunggu pesanan lama.,negative,Starbucks
Good starbucks outlet in a mall,positive,Starbucks
Tempat nyantai sekedar ngobrol...sambil minum kopi,positive,Starbucks
Love it here too,positive,Starbucks
Tempatnya enak! Yang paling menonjol bagian outdoor yang terkesan sejuk walaupun smoking. Kursi di indoor juga cocok jumlahnya. Pas buat yang mau nongkrong atau wfc. __,positive,Starbucks
Tempatnya menyenangkan untuk menikmati kopi sambil browsing,positive,Starbucks
Kasir yang cowok jutek. tidak welcome.,negative,Starbucks
Standard Starbucks. tetapi area merokok kecil. Kursi aluminium. tidak nyaman buat nongkrong.,positive,Starbucks
Untuk yang di dalam pelayanannya sangat baik tetapi untuk tukang parkirnya pelayanannya sangat buruk. Membantu keluar motor tetapi sangat tidak ikhlas. Bahkan sampai ngatain saya orang tak berakal hanya karna saya lewat jalur yang kecil (motor bisa lewat). Mohon untuk pegawainya lebih dididik lagi untuk kenyamanan bersama juga.,negative,Starbucks
Jutek sekali mbaknya,positive,Starbucks
Always love Caramel Macchiato,positive,Starbucks
Beri ruang dan tempat duduk untuk menunggu order take away,positive,Starbucks
Seger tempatnya,positive,Starbucks
Good as always...,positive,Starbucks
Org2 yang d sb ne ramah2 sekalii,positive,Starbucks
My new fav menu. Americano otr coldstone..,positive,Starbucks
Bikin kopi sambil beberes. Emangnya di rumah.,negative,Starbucks
Cuma kurang luas saja kali yaa yang di dalem sedikit sekali tempat duduknya.,positive,Starbucks
Pesen vanilla sweet cream coldbrew. Ada indrigients yang kurang.. heavy creamnya kemanaaa. Komunikasi kk kalau indrigientsnya ada yang missing.,negative,Starbucks
Has been as it always has been.,positive,Starbucks
Tmpat nongki terhits,positive,Starbucks
Refresentatif tempatnya...cuma parkir kurang luas,positive,Starbucks
Ngupi di mall,positive,Starbucks
Pelayanan memuaskan,positive,Starbucks
Tempat sangat baik buat nongkrong sambil ngopi santai...meeting...jga baik,positive,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Pegawainya kurang ramah,negative,Starbucks
Mantapss,positive,Starbucks
The service was really good and the baristas are very friendly!,positive,Starbucks
Hibiscus Tea Lemonade nya enak ini seger rasa nya __,positive,Starbucks
Saya sebagai driver Shopee sangat kecewa menu tidak ada aplikasi nya d buka sangat merugikan driver dah jauh jauh saya datang menunya tidak ada tidak menghargai driver dah jauh jauh datang jd satu ya terpaksa d cancel sama pihak resto,negative,Starbucks
Regas,negative,Starbucks
The service was bad. The waitress asked for aditional cost for oatmilk for the menu Ice Brown Sugar Oat Milk Shaken Espresso.,negative,Starbucks
A nice place to have your herbal tea or caramel macchiato,positive,Starbucks
Ngarugikeun batur,negative,Starbucks
Baik,positive,Starbucks
Buset diminuman ada semut jiji,negative,Starbucks
Saya sebagai driver Shopee sangat kecewa menu tidak ada aplikasi nya d buka sangat merugikan driver dah jauh jauh saya datang menunya tidak ada tidak menghargai driver dah jauh jauh datang jd satu ya terpaksa d cancel sama pihak resto,negative,Starbucks
Pelayanan nya tidak ramah. makanan sama minuman nya biasa saja.,negative,Starbucks
Good place to hangout with the loved ones. The ambience was great with the friendly staff. I'd love to come here again some day.,positive,Starbucks
Tempat baik bersih dan luas,positive,Starbucks
Saya beberapa kali edit lokasi starbuck ke tempat yang seharusnya tetapi ada yang pindahin lagi ke tempat yang bukan titik aslinya,positive,Starbucks
Chill n nice place,positive,Starbucks
Tempatnya nyaman,positive,Starbucks
Good place,positive,Starbucks
Untuk yang di dalam pelayanannya sangat baik tetapi untuk tukang parkirnya pelayanannya sangat buruk. Membantu keluar motor tetapi sangat tidak ikhlas. Bahkan sampai ngatain saya orang tak berakal hanya karna saya lewat jalur yang kecil (motor bisa lewat). Mohon untuk pegawainya lebih dididik lagi untuk kenyamanan bersama juga.,negative,Starbucks
Ngarugikeun batur,negative,Starbucks
BIG NO,negative,Starbucks
Regas,negative,Starbucks
Kasirnya kurang ramah.. ditanyain promo jawabnya ketus.. kurang di training ini..,negative,Starbucks
Orderan di lewat terus,negative,Starbucks
Nice place good service,positive,Starbucks
2x ke sini parah sekali servicenya. Ketus-ketus. Cepet berbenah kalian,negative,Starbucks
Produk izraelllaaaahhh....,negative,Starbucks
Baristanya buruk pelayanan buruk apalagi barista cowo atas nama amar kalau gasalah jutek tidak ramah di kasir hadehhhh cut deh__,negative,Starbucks
Ngarugikeun batur,negative,Starbucks
SEKELAS SBUCKS MINIM COLOKAN?! ARE U SERIOUS!? ____,negative,Starbucks
Setidaknya ada orang yang kusus untuk pesanan yang online gojek grab sudah hampir 1jam belum juga di proses 20 orang ngantri Krn konsumen yang di layani DTG ke tempat di utamakan dlu sdgkn yang online ngantri GK ad ke pastian pdhl bkn makanan in hanya kopi' St botol kemasan Starbucks konsumen yang online ngeluhnya ke drever bkn pada resto nya kita kerja bkn mau nunggu lama antrian panjang dan se harus Nya ad perbaikan di penjualan online St kasir kurang gesit byk nunggu 2 perkerja sedikit 3 masih bingung tingkat kerja nya proses lama mohon di benah LG tuk menejemennya sebagai komando time,negative,Starbucks
Another perspective in asia africa street,positive,Starbucks
Very small non smoking area,negative,Starbucks
Nyaman sekali tempatnya,positive,Starbucks
This sbux placed @ Ground Floor next to Fore Coffee. You must ask the wifi password to baristas. Have outdoor seating. Unfortunately in my last visit there some people not use mask in side this Sbux.,positive,Starbucks
They refuse to turn the AC on. It’s so uncomfortable. Go to Kopi kenigan they have AC.,negative,Starbucks
Enjoyyyyyy,positive,Starbucks
Ngopi dan belanja dalam satu tempat. Depan starbuck ini ada toko peralatan kosmetik yang lucu2.,positive,Starbucks
Hebat enak,positive,Starbucks
Cozy,positive,Starbucks
Buat nongkrong baik. Cuma toilet nya agak jorok. Coba management nya di perbaikin.,positive,Starbucks
Salah satu Starbucks terbaik di bandung. tidak enaknya adalah wifi kurang lancar. Kalau minuman standar Starbucks saja,positive,Starbucks
Pelayanan buruk dari barista nya kalau pelayanan buruk gtu bisa bisa hancur Jangan mentang mentang sudah jadi coffe shop besar bisa seenaknya,negative,Starbucks
Tidak melayani pembeli dengan ramah,negative,Starbucks
Service is top notch… All because of my clummsyness I spill my ice americano… the bartender quickly mop the floor and give me a replacement for my americano… What a service ____________,positive,Starbucks
Kasirnya jutek sekali!! Minuman tidak sesuai request. Bad experience______,negative,Starbucks
Kalau tidak ada jangan di di tampilim di aplikasi,negative,Starbucks
Service kurang baik.Harus ada penambahan karyawan lagi.Jangan sampai membuat customer menunggu pesanan lama.,negative,Starbucks
Baik,positive,Starbucks
